50,55,1,0,0,0
50,55,1,0,0,0
50,55,1,0,0,0
50,55,1,0,0,0
48,52,1,0,0,0
47,53,1,0,0,0
47,54,1,0,0,0
46,55,1,0,0,0
44,55,1,0,0,0
80,55,1,0,0,0
85,55,1,0,0,0
87,61,1,0,0,0
-1,61,1,0,0,0
-1,61,1,0,0,0
-1,58,1,0,0,0
-1,49,1,0,0,0
-1,43,1,0,0,0
-1,45,1,1,0,0
-1,38,1,1,0,0
-1,30,1,1,0,0
-1,24,1,1,0,0
-1,80,1,1,0,0
-1,14,1,1,0,0
-1,4,1,1,0,0
-1,63,1,1,0,0
-1,68,1,1,0,0
-1,68,1,1,0,0
-1,71,1,1,0,0
-1,4,1,1,0,0
-1,5,1,1,0,0
-1,69,1,1,0,0
-1,18,1,1,0,0
-1,21,1,1,0,0
-1,26,1,1,0,0
-1,-1,1,1,0,0
-1,26,1,1,0,0
-1,30,1,1,0,0
-1,27,1,1,0,0
-1,21,1,1,0,0
-1,24,1,1,0,0
-1,75,1,1,0,0
-1,28,1,1,0,0
-1,31,1,1,0,0
-1,35,1,1,0,0
-1,41,1,1,0,0
-1,44,1,1,0,0
-1,48,1,1,0,0
82,84,1,0,0,0
82,84,1,0,0,0
84,84,1,0,0,0
86,84,1,0,0,0
-1,-1,0,0,0,0
-1,-1,0,0,0,0